0,-2,0,3,2;-2.2084700902833987,1.0383498377662066,1.0
0,-2,0,3,3;-2.667201299466976,0.7765349721220165,1.0
0,-2,0,3,4;-3.23436460267515,0.7050165044328733,1.0
0,-2,0,4,3;-2.997451838153074,1.1529192150812844,1.0
0,-2,1,3,2;-2.2039030021528676,1.2168055197885561,1.0
0,-2,1,3,3;-2.3531946109186883,1.2647079233239094,1.0
0,-1,0,2,2;-1.671241985513864,0.45292817437203714,1.0
0,-1,0,2,3;-2.2060816855111924,0.3311470726672965,1.0
0,-1,0,3,2;-2.017030305599589,0.7826255736886192,1.0
0,-1,0,3,3;-2.211375001427832,0.5241385749378605,1.0
0,-1,1,2,1;-1.0891232983765804,1.113607932949004,1.0
0,-1,1,2,2;-1.328839345364002,0.7826255736886191,1.0
0,-1,1,3,1;-1.1756915756929744,1.2180838200961237,1.0
0,-1,1,3,2;-1.671241985513864,1.1001417698719953,1.0
0,0,0,2,2;-1.188176526489973,0.33580571926528346,1.0
0,0,1,1,1;-0.35299456262169554,0.4075632225813543,1.0
0,0,1,2,0;-0.08974392687115411,0.8323385081829079,1.0
0,0,1,2,1;-0.5958013231794739,0.7794009961851219,1.0
0,0,1,2,2;-1.0906876869056799,0.4518993573258737,1.0
0,0,2,2,0;-0.08912726747455017,1.0622970226010822,1.0
0,0,2,2,1;-0.3427750129174127,1.1373859195738742,1.0
0,1,1,1,0;0.18268895680538383,0.5114111322318435,1.0
0,1,1,1,1;-0.09130595083287509,0.48565556985477,1.0
0,1,1,2,0;-0.05286313283594206,0.7826255736886188,1.0
0,1,1,2,1;-0.09264883801558725,0.7301499045211584,1.0
0,1,2,1,-1;0.9738851938010802,1.1428823629509262,1.0
0,1,2,1,0;0.6635021619644671,0.7797075043538751,1.0
0,1,2,2,0;0.1772029778854968,1.0406855622337658,1.0
0,1,3,1,-1;1.0802256291154664,1.2571163934320202,1.0
0,2,2,0,-1;1.5517500572624612,0.452928174372037,1.0
0,2,2,0,0;1.0927105799124657,0.29677314592938697,1.0
0,2,2,1,-1;1.223113079692118,0.7826255736886187,1.0
0,2,2,1,0;0.9754495823301799,0.42262492732395135,1.0
0,2,3,0,-2;2.0260773253966575,0.9361612341044561,1.0
0,2,3,0,-1;1.9113040399277046,0.7826255736886183,1.0
0,2,3,1,-2;2.023469783845442,1.1401640670422435,1.0
0,2,3,1,-1;1.5517500572624614,1.1001417698719949,1.0
0,3,2,0,-2;2.2347451239852227,0.34339724915717246,1.0
0,3,2,0,-1;2.0256484672037667,0.4077885254136083,1.0
0,3,3,-1,-2;2.8585632518110433,0.3288738967480909,1.0
0,3,3,0,-3;3.0548767489328417,0.9596605119329423,1.0
0,3,3,0,-2;2.5477093712155736,0.7765349721220158,1.0
0,3,3,0,-1;2.0289822365410903,0.6263271785996092,1.0
0,3,3,1,-2;2.2245255742809404,1.201551892998056,1.0
0,3,4,0,-3;3.057934907557147,1.1577885254136082,1.0
0,3,4,0,-2;2.868782801515325,1.2160752454071373,1.0
0,4,3,-1,-3;3.5436686851686856,0.4529281743720367,1.0
0,4,3,-1,-2;3.055756224198822,0.3901640670422434,1.0
0,4,3,0,-3;3.1872802524557646,0.7826255736886181,1.0
0,4,3,0,-2;3.051971837788409,0.6028279007711226,1.0
0,4,4,-1,-4;4.1225117573618775,1.136150418886372,1.0
0,4,4,-1,-3;3.8754712126913518,0.7826255736886181,1.0
0,4,4,0,-4;4.0207181248945245,1.248140468012615,1.0
0,4,4,0,-3;3.543668685168685,1.1001417698719946,1.0
1,-3,-2,2,4;-3.7397960810941453,-0.7197587811686805,1.0
1,-3,-2,3,4;-3.7834986160591084,-0.4924882180929922,1.0
1,-3,-1,3,4;-3.847430766753579,0.09939694941595359,1.0
1,-3,-1,4,4;-4.103699120675032,0.2667164980128957,1.0
1,-2,-2,2,4;-3.4727181090362436,-0.6554963102791808,1.0
1,-2,-2,3,4;-3.5750557917404664,-0.4944019268491937,1.0
1,-2,-1,2,3;-2.6672012994669765,-0.2706786233779417,1.0
1,-2,-1,2,4;-3.026427358399653,-0.5111313537055249,1.0
1,-2,-1,3,3;-2.813764656311643,0.14337714348194883,1.0
1,-2,-1,3,4;-3.282738006902027,-0.0706786233779416,1.0
1,-2,0,2,3;-2.42495230114218,0.19519405942123974,1.0
1,-2,0,3,3;-2.539620444160137,0.23589264283415426,1.0
1,-1,-1,1,2;-1.671241985513864,-0.5942854211279206,1.0
1,-1,-1,1,3;-1.835296965069593,-0.6545941761538411,1.0
1,-1,-1,2,2;-1.7531422085490025,-0.45170243985895686,1.0
1,-1,-1,2,3;-2.146129150049499,-0.4533894550840887,1.0
1,-1,0,1,2;-1.5902039055857067,-0.44576924893242226,1.0
1,-1,0,2,2;-1.6663421834806726,-0.12325645720160701,1.0
1,-1,0,2,3;-2.1537001481813105,0.0622970226010823,1.0
1,0,-1,1,2;-1.5130962227228795,-0.6641942807347165,1.0
1,0,0,1,1;-0.6752826715607523,-0.2706786233779418,1.0
1,0,0,1,2;-1.1933265767835715,-0.4440694777796427,1.0
1,0,0,2,1;-0.9024914001969625,0.16633154889093796,1.0
1,0,0,2,2;-1.1377316740595975,0.11327184465553272,1.0
1,0,1,1,1;-0.5420150524367598,0.13617706504629218,1.0
1,0,1,2,1;-0.859020433552493,0.23736221527773527,1.0
1,0,1,2,2;-0.9768126904475151,0.2647079233239093,1.0
1,1,0,0,1;0.0123319808959829,-0.6367853534158109,1.0
