-1,1,3,2,-2;1.474928016712342,2.2533498052350303,1.0
-1,1,3,2,-1;0.9433886587990291,2.1020380978293547,1.0
-1,1,3,2,0;0.4338643578429168,2.0522107475207014,1.0
-1,2,2,1,-1;1.2685953531788012,1.328889068830821,1.0
-1,2,3,0,-2;2.1765835295090814,1.3643746345100443,1.0
-1,2,3,1,-2;1.9049969943234768,1.8027600313299097,1.0
-1,2,3,1,-1;1.4670997214488843,1.6566237004758366,1.0
-1,2,3,2,-2;1.532067341908184,2.229403128435439,1.0
-1,2,3,2,-1;1.472905402413737,2.161410339053946,1.0
-1,3,3,0,-3;2.8843344224805825,1.3755749012181573,1.0
-1,3,3,0,-2;2.5277397258001844,1.46774144845105,1.0
-1,3,3,1,-2;2.4176532139669344,1.6694486873044572,1.0
0,-3,-1,3,3;-3.30980532080244,0.8991916736563021,1.0
0,-3,0,3,3;-3.1763450595702816,1.1329743755606918,1.0
0,-2,-1,2,3;-2.5598496231441694,0.3424433488102678,1.0
0,-2,-1,3,3;-2.9854159793764508,0.49672184920361895,1.0
0,-2,0,2,2;-2.1974463855093926,0.6706983540540864,1.0
0,-2,0,2,3;-2.3265000942852154,0.4565005843986226,1.0
0,-2,0,3,2;-2.161136583914838,1.056623700475837,1.0
0,-2,0,3,3;-2.683637947678873,0.919858131305992,1.0
0,-2,1,3,2;-1.984331888036163,1.2802563909140492,1.0
0,-1,0,2,1;-1.1591306934501944,0.640188088354105,1.0
0,-1,0,2,2;-1.6810814745491507,0.606018675686558,1.0
0,-1,0,2,3;-2.2051897681215933,0.3806718089850654,1.0
0,-1,0,3,2;-1.9439073932042341,1.0328386685542825,1.0
0,-1,1,2,1;-1.1577799060584775,0.9807720567417666,1.0
0,-1,1,2,2;-1.426958359273029,1.086429269538878,1.0
0,-1,1,3,2;-1.768936069012438,1.2284658783732179,1.0
0,0,0,1,1;-0.903343303916604,0.3326977945544463,1.0
0,0,0,1,2;-1.073279076871242,0.291910275405652,1.0
0,0,0,2,1;-1.0517455218925562,0.4946831764688281,1.0
0,0,0,2,2;-1.1394665749759367,0.36136913968554446,1.0
0,0,1,1,0;-0.06966193551073292,0.8991916736563017,1.0
0,0,1,1,1;-0.3995654056255725,0.5037141798985804,1.0
0,0,1,2,0;-0.21515234368101716,1.1417147889293937,1.0
0,0,1,2,1;-0.6917193197726489,0.9198581313059917,1.0
0,0,2,1,0;0.04094449295052582,1.0814713464710541,1.0
0,0,2,2,0;-0.023963901603875123,1.196063058257688,1.0
0,1,1,0,0;0.8021921399285689,0.36043188962332295,1.0
0,1,1,1,0;0.2777383465771207,0.5259014559536818,1.0
0,1,1,1,1;-0.10226531964505936,0.3806718089850652,1.0
0,1,2,0,0;0.8915953013025657,0.4634373577211592,1.0
0,1,2,1,-1;0.949196904593208,1.0473384756517319,1.0
0,1,2,1,0;0.5511068788359187,0.8984642409598033,1.0
0,1,2,2,0;0.16616393150780565,1.2370526307600096,1.0
0,2,1,0,-1;1.049158528519018,0.2968855753848941,1.0
0,2,1,0,0;0.9569958286198397,0.3262635595542928,1.0
0,2,2,0,-2;1.9854899823538015,0.7675100921041395,1.0
0,2,2,0,-1;1.5070334025897159,0.5727781327417146,1.0
0,2,2,0,0;0.9554788678958862,0.4482919655435321,1.0
0,2,2,1,-1;1.2367522718319262,0.9509277753985381,1.0
